 TIME, Mass Concentration PM1.0, Mass Concentration PM2.5, Mass Concentration PM4.0 , Mass Concentration PM10, Number Concentration PM0.5, Number Concentration PM1.0, Number Concentration PM2.5, Number Concentration PM4.0, Number Concentration PM10, Particle Size
 Wed Mar 18 21:27:36 2020,0.70017934,1.67389405,1.67389309,1.673895,3.30123711,4.30651093,5.77589798,5.77756548,5.77842999,0.34593689
 Wed Mar 18 21:27:51 2020,1.9220444,1.46173394,1.4617331,1.46173477,5.70809269,3.19871831,3.96317744,3.96393371,3.96432543,0.25122654
 Wed Mar 18 21:28:06 2020,1.69674551,0.70185626,0.70185578,0.70185667,5.30222559,5.2443943,2.76231146,2.76310205,2.76351166,0.41220391
 Wed Mar 18 21:28:21 2020,0.80918264,1.92795885,1.92795801,1.92795968,4.40945816,7.6847496,6.14972734,6.15116453,6.15190887,0.24015254
 Wed Mar 18 21:28:36 2020,0.61228335,1.92460275,1.92460203,1.92460358,2.41282177,7.67215967,6.13706303,6.13849592,6.13923883,0.24000216
 Wed Mar 18 21:28:51 2020,0.75381011,0.67585415,0.67585379,0.6758545,3.39090991,5.3068924,4.77000809,4.771348,4.7720418,0.44332778
 Wed Mar 18 21:29:06 2020,0.51524347,1.81922495,1.81922424,1.81922579,2.26374626,7.33175325,6.86028337,6.86177588,6.86254883,0.2395187
 Wed Mar 18 21:29:21 2020,0.73516685,0.63867217,0.6386717,0.63867265,4.73251247,4.21013308,6.68042707,6.68214226,6.68303108,0.23978865
 Wed Mar 18 21:29:36 2020,1.71247935,0.92964232,0.92964172,0.92964286,4.28946447,5.17201376,2.79228258,2.79326463,2.79377341,0.41286957
 Wed Mar 18 21:29:51 2020,1.83807135,1.02554452,1.02554393,1.02554524,2.194139,2.69101286,2.46372986,2.46491814,2.46553373,0.34605396
 Wed Mar 18 21:30:06 2020,1.04675865,0.69448096,0.69448042,0.69448143,3.96583128,3.6942842,3.46148491,3.46238446,3.46285057,0.34585464
 Wed Mar 18 21:30:21 2020,1.78925633,1.18777978,1.18777871,1.18778086,6.82737494,3.52031755,2.19569325,2.19669366,2.19721198,0.25147092
 Wed Mar 18 21:30:36 2020,1.58255076,1.83629036,1.83628917,1.83629167,4.37244415,3.75986362,2.28132653,2.28244925,2.28303075,0.34626293
 Wed Mar 18 21:30:51 2020,0.50373274,1.05816758,1.0581665,1.05816865,3.56034994,7.29080963,6.76490164,6.76681566,6.76780701,0.25187111
 Wed Mar 18 21:31:06 2020,1.30405295,1.71141994,1.71141899,1.71142101,4.71232843,3.23935795,3.97585154,3.9767797,3.97726059,0.25071061
 Wed Mar 18 21:31:21 2020,1.34020805,0.94109845,0.94109797,0.94109893,5.20526886,7.12678385,3.79866195,3.79952598,3.79997349,0.41356862
 Wed Mar 18 21:31:36 2020,0.6103791,1.2955755,1.29557467,1.29557633,2.681283,7.65705156,7.68436527,7.68579435,7.6865344,0.25094855
 Wed Mar 18 21:31:51 2020,0.6377902,0.6802749,0.68027443,0.68027544,2.73274159,3.46426153,6.33816004,6.33997202,6.34091043,0.41404986
 Wed Mar 18 21:32:06 2020,1.06605506,0.55983746,0.55983686,0.559838,5.75995922,2.79299617,2.06188679,3.25037479,3.25088692,0.25108373
 Wed Mar 18 21:32:21 2020,0.86439091,1.0774914,1.07749021,1.07749271,6.75623751,2.55197549,5.64737415,5.64964533,5.65082169,0.25195026
 Wed Mar 18 21:32:36 2020,0.99632096,0.81807745,0.81807703,0.81807786,6.37147093,6.17852831,4.70836782,4.70992851,4.71073723,0.25077522
 Wed Mar 18 21:32:51 2020,1.8150959,0.87802792,0.87802744,0.87802833,7.84239626,4.71801567,5.24808836,5.24966145,2.75023818,0.25127137
 Wed Mar 18 21:33:06 2020,1.80699575,1.53861654,1.53861558,1.53861761,6.86110163,2.5119803,2.23205972,2.23294663,2.23340607,0.41284037
 Wed Mar 18 21:33:21 2020,0.69474322,1.42406905,1.42406797,1.42407012,3.29590368,5.81917715,7.29306746,7.29497099,7.29595709,0.24001217
 Wed Mar 18 21:33:36 2020,1.42845762,1.59342206,1.59342098,1.59342325,4.18756294,2.95473576,3.72402787,3.72503686,3.72555971,0.19210589
 Wed Mar 18 21:33:51 2020,0.86318016,1.43358874,1.43358767,1.43358994,2.28107715,5.66174364,4.1391325,4.14121914,4.14230013,0.19185787
 Wed Mar 18 21:34:06 2020,0.62319481,0.62936974,0.6293692,0.62937027,3.94047999,6.77734804,6.22047949,6.22240877,6.22340822,0.14821672
 Wed Mar 18 21:34:21 2020,1.42320514,1.58786774,1.58786666,1.58786881,5.73242474,2.19431734,2.96354795,2.96455383,2.96507478,0.14763218
 Wed Mar 18 21:34:36 2020,1.05203879,1.17947412,1.1794728,1.17947531,2.71060967,2.94921422,3.4704113,3.47151995,3.4720943,0.23930961
 Wed Mar 18 21:34:51 2020,0.94570905,0.95079774,0.9507972,0.95079833,7.14805889,6.26047277,7.79965353,7.80170298,7.80276442,0.23953557
 Wed Mar 18 21:35:06 2020,0.57120848,0.50017744,0.50017691,0.50017792,2.71903539,3.69806933,3.46529245,3.4661932,3.46666002,0.44280481
 Wed Mar 18 21:35:21 2020,0.55958617,1.4359014,1.43590021,1.4359026,2.50349903,5.67041922,4.14785957,4.1499486,4.15103102,0.44277
 Wed Mar 18 21:35:36 2020,1.79113138,1.18976247,1.1897614,1.18976367,6.83367157,3.52403641,2.19943428,2.20043588,2.20095468,0.23999691
 Wed Mar 18 21:35:51 2020,1.8320297,0.92676085,0.92676032,0.92676139,2.47933221,4.65039444,2.78140903,2.78238773,2.78289485,0.2394287
 Wed Mar 18 21:36:06 2020,0.5718683,0.50087517,0.5008747,0.50087565,2.72125101,3.70068693,3.46792531,6.31265402,6.31358862,0.41383171
 Wed Mar 18 21:36:21 2020,0.55091888,0.57134962,0.57134914,0.5713501,6.13938427,5.7364502,4.20653057,4.20823479,4.20911789,0.2510215
 Wed Mar 18 21:36:36 2020,1.94367731,1.91681004,1.91680908,1.91681099,7.32162523,2.26991224,2.5054791,2.50635862,2.50681448,0.37157106
 Wed Mar 18 21:36:51 2020,0.82666141,1.45252979,1.45252872,1.45253086,2.01666641,2.43754864,4.34857988,4.35046196,4.35143709,0.37206841
 Wed Mar 18 21:37:06 2020,0.62987137,0.62695581,0.62695527,0.6269564,7.12564325,3.49199581,6.27301598,6.27505732,6.27611494,0.2795732
 Wed Mar 18 21:37:21 2020,0.68193692,0.56289589,0.56289536,0.56289643,3.20911121,7.31003284,7.69048834,7.69240808,7.69340277,0.37261879
 Wed Mar 18 21:37:36 2020,1.32023513,1.9092046,1.90920341,1.90920579,2.44679403,3.46981072,3.75675416,3.75786924,3.75844693,0.46344995
 Wed Mar 18 21:37:51 2020,0.76067823,0.82351434,0.82351375,0.82351494,4.78693819,7.77671194,4.81838703,4.82056713,4.82169628,0.34580719
 Wed Mar 18 21:38:06 2020,1.70752668,1.03087437,1.03087378,1.03087509,2.96106386,2.46100736,2.81196737,2.03191161,2.03253055,0.3469671
 Wed Mar 18 21:38:21 2020,0.94654816,0.95168513,0.95168453,0.95168567,7.15369463,6.26713085,7.80635071,7.80840206,7.80946493,0.4633534
 Wed Mar 18 21:38:36 2020,1.06070578,1.96046174,1.96046066,1.96046281,4.21190214,3.7191124,3.48848939,3.48950291,3.4900279,0.42980921
 Wed Mar 18 21:38:51 2020,1.40701401,0.82731003,0.82730949,0.8273105,3.19107509,2.22753835,2.9945662,2.99545693,2.99591827,0.46332574
 Wed Mar 18 21:39:06 2020,1.53904188,1.44734192,1.44734085,1.44734299,2.75842929,2.70906782,2.44575167,2.44668961,2.4471755,0.37246323
 Wed Mar 18 21:39:21 2020,1.94105649,1.30466366,1.30466259,1.30466461,7.31282425,3.04596376,2.50024986,2.50112796,2.50158286,0.37174129
 Wed Mar 18 21:39:36 2020,0.61186057,1.9237088,1.92370796,1.92370951,2.40998268,7.6688056,6.13368893,6.13512135,6.1358633,0.14902323
 Wed Mar 18 21:39:51 2020,0.80670315,1.55355084,1.55355,1.55355179,6.35724783,6.16172552,4.69146585,4.69302177,4.69382763,0.14900303
 Wed Mar 18 21:40:06 2020,1.28611553,0.73581898,0.73581856,0.73581946,3.70934486,3.20661497,3.94088554,3.94169736,3.94211793,0.28036654
 Wed Mar 18 21:40:21 2020,1.81967926,0.70076376,0.70076334,0.70076424,5.29528713,5.23619795,2.75818896,2.75897837,2.75938725,0.16515839
 Wed Mar 18 21:40:36 2020,1.71239209,0.92959613,0.92959559,0.92959672,4.2891717,5.17166758,2.7921083,2.79309034,2.79359913,0.37238109
 Wed Mar 18 21:40:51 2020,0.96424526,1.62183869,1.62183797,1.6218394,5.35647917,8.60839176,13.65774536,13.66032696,13.66166496,0.14908785
 Wed Mar 18 21:41:06 2020,1.70717609,1.030689,1.03068829,1.03068972,2.96047521,2.46031189,2.81126785,2.81246185,2.03183055,0.37268698
 Wed Mar 18 21:41:21 2020,0.76069307,0.82353002,0.82352942,0.82353061,4.78703785,7.77682972,4.81850529,4.82068539,4.82181454,0.37240636
 Wed Mar 18 21:41:36 2020,0.86755741,1.04117918,1.04117823,1.04118001,7.67721033,6.83230114,5.73970938,5.74140453,5.74228287,0.46446967
 Wed Mar 18 21:41:51 2020,0.99960959,0.87624258,0.8762421,0.876243,7.83105755,4.70462036,5.2346139,5.23618269,5.2369957,0.46377552
 Wed Mar 18 21:42:06 2020,1.46489382,0.86770189,0.86770141,0.86770231,2.24408388,3.28319454,3.54852152,3.54932308,3.54973841,0.46361816
 Wed Mar 18 21:42:21 2020,0.61438578,1.9339875,1.93398654,1.93398833,7.16864443,2.49925208,7.65301895,7.65456295,7.65536261,0.37186325
 Wed Mar 18 21:42:36 2020,0.62311363,0.62928385,0.62928331,0.62928438,3.94020748,6.77670383,6.21983147,6.22176027,6.22275972,0.4312079
 Wed Mar 18 21:42:51 2020,1.18392622,0.99065018,0.9906497,0.99065071,6.17622423,5.27981377,3.23564959,3.23657107,3.23704839,0.4299624
 Wed Mar 18 21:43:06 2020,0.5814265,1.35530269,1.35530198,1.35530341,2.53197885,21.96864891,11.53294563,11.53548908,11.53680611,0.34712112
 Wed Mar 18 21:43:21 2020,0.68888062,1.62609208,1.62609136,1.62609267,5.1704793,4.32356167,5.86791229,5.87023211,5.87143373,0.43125498
